1,Af,climat de forêt tropicale humide,Tropical rainforest climate,La température moyenne de chaque mois de l'année est supérieure à 18 °C.Il n’y a pas de « saison hivernale ».Le climat est humide et présente de fortes précipitations annuelles.Les précipitations annuelles sont supérieures à l'évaporation annuelle.Les précipitations sont régulières tous les mois de l'année.Les précipitations du mois le plus sec sont supérieures à 60 mm.,The average temperature for each month of the year is above 18 ° C.There is no such thing as a winter season.The climate is humid and has heavy annual rainfall.Annual precipitation is greater than annual evaporation.Rainfall is regular every month of the year.The driest month has a precipitation of more than 60 mm.
2,Am,Climat tropical à moussons.,Tropical monsoon climate,La température moyenne de chaque mois de l'année est supérieure à 18 °C.Il n’y a pas de « saison hivernale ».Le climat est humide et présente de fortes précipitations annuelles.Les précipitations annuelles sont supérieures à l'évaporation annuelle.Les précipitations du mois le plus sec sont inférieures à 60 mm et supérieures à [100 – (précipitations annuelles moyennes)/25].,The average temperature for each month of the year is above 18 ° C.There is no such thing as a winter season.The climate is humid and has heavy annual rainfall.Annual precipitation is greater than annual evaporation.Precipitation in the driest month is less than 60 mm and greater than [100 - (mean annual precipitation) / 25].
3,As, Climat de savane à été sec,Tropical savanna climate with dry-summer ,La température moyenne de chaque mois de l'année est supérieur à 18 °C.Il n’y a pas de « saison hivernale ».Les précipitations annuelles sont fortes.Les précipitations annuelles sont supérieures à l'évaporation annuelle.La saison sèche est en été.Les précipitations du mois estival le plus sec inférieur 40 mm et inférieur 1/3 du mois hivernal le plus humide.(catégorie parfois utilisée en analogie avec Aw dans les rares cas où la saison sèche se produit dans les mois où le soleil est au plus haut).,The average temperature for each month of the year is above 18 ° C.There is no such thing as a winter season.Annual precipitation is heavy.Annual precipitation is greater than annual evaporation.The dry season is in summer.The precipitation of the driest summer month lower 40 mm and lower 1/3 of the wettest winter month.(category sometimes used in analogy with Aw in the rare cases where the dry season occurs in the months when the sun is at its highest).
4,Aw,Climat de savane à hiver sec,Tropical savanna climate with dry-winter,La température moyenne de chaque mois de l'année est supérieure 18 °C.Il n’y a pas de « saison hivernale » et l’hiver correspond à la saison sècheLes précipitations annuelles sont fortesLes précipitations annuelles sont supérieures à l'évaporation annuelle.Les précipitations du mois le plus sec sont inférieures à 60 mm et inférieures à [100 – (précipitations annuelles moyennes)/25],The average temperature for each month of the year is above 18 ° C.There is no winter season and winter is the dry seasonAnnual precipitation is heavyAnnual precipitation is greater than annual evaporation.Precipitation in the driest month is less than 60 mm and less than [100 - (average annual precipitation) / 25]
5,BWk,Climat désertique froid et sec,Cold and dry desert climate,La température moyenne de chaque mois de l'année est inférieure à 18 °C.L’évaporation annuelle est supérieure aux précipitations annuelles.Les précipitations annuelles inférieures à 50 % du seuil.,The average temperature for each month of the year is below 18 ° C.Annual evaporation is greater than annual precipitation.Annual precipitation below 50% of the threshold.
6,BWh,Climat désertique chaud et sec.,Hot and dry desert climate.,La température moyenne annuelle est supérieure à 18 °CL’évaporation annuelle est supérieure aux précipitations annuelles.Les précipitations annuelles inférieures à 50 % du seuil,The annual average temperature is above 18 ° CAnnual evaporation is greater than annual precipitation.Annual precipitation below 50% of the threshold
7,BSk,Climat de steppe (climat semi-aride) sec et froid.,Dry and cold steppe climate (semi-arid climate).,La température moyenne annuelle est inférieure à 18 °C.L’évaporation annuelle est supérieure aux précipitations annuelles.La saison sèche est en été.Les précipitations du mois estival le plus sec sont inférieures à 40 mm et à 1/3 du mois hivernal le plus humide.,The annual average temperature is below 18 ° C.Annual evaporation is greater than annual precipitation.The dry season is in summer.Rainfall in the driest summer month is less than 40 mm and less than 1/3 of the wettest winter month.
8,BSh,Climat de steppe (climat semi-aride) sec et chaud.,,La température moyenne annuelle est supérieure à 18 °C.L’évaporation annuelle est supérieure aux précipitations annuelles.La saison sèche est en été.Les précipitations du mois estival le plus sec sont inférieures à 40 mm et à 1/3 du mois hivernal le plus humide.,The annual average temperature is above 18 ° C.Annual evaporation is greater than annual precipitation.The dry season is in summer.Rainfall in the driest summer month is less than 40 mm and less than 1/3 of the wettest winter month.
9,Cfa,Climat tempéré chaud sans saison sèche et à été chaud.,Humid subtropical climates,Les températures moyennes des 3 mois les plus froids sont comprises entre 0 °C et 18 °C.Les températures moyennes du mois le plus chaud sont supérieures à 10 °CLes saisons été et hiver sont bien définies.C’est un climat humide.Les précipitations sont régulières, tous les mois de l'année.Il n’y a pas de saison sèche.La température moyenne du mois le plus chaud est supérieure à 22 °C,The average temperatures of the 3 coldest months are between 0 ° C and 18 ° C.The average temperatures of the hottest month are above 10 ° CThe summer and winter seasons are well defined.It is a humid climate.Rainfall is regular, every month of the year.There is no dry season.The average temperature of the hottest month is above 22 ° C
10,Cfb,Climat tempéré chaud, sans saison sèche et à été tempéré.,Marine west coast climate,Les températures moyennes des 3 mois les plus froids sont comprises entre 0 °C et 18 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.Le climat est humide.Les précipitations sont régulières, tous les mois de l'année.Il n’y a pas de saison sèche.La température moyenne du mois le plus chaud est inférieure ou égale à 22 °C.Les températures moyennes des 4 mois les plus chauds sont supérieures à 10 °C.,The average temperatures of the 3 coldest months are between 0 ° C and 18 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The climate is humid.Rainfall is regular, every month of the year.There is no dry season.The average temperature of the hottest month is 22 ° C or less.The average temperatures of the 4 hottest months are above 10 ° C.
11,Cfc,Climat tempéré chaud, sans saison sèche et à été court et frais,Subpolar oceanic climate,Les températures moyennes des 3 mois les plus froids  sont comprises entre 0 °C et 18 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.Le climat est humide.Les précipitations sont régulières, tous les mois de l'année.Il n’y a pas de saison sèche.La température moyenne du mois le plus chaud est inférieure à 22 °C.Les températures moyennes mensuelles sont supérieures à 10 °C pour moins de 4 mois.Les températures moyennes du mois le plus froid sont supérieures à -38 °C.,The average temperatures of the 3 coldest months are between 0 ° C and 18 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The climate is humid.Rainfall is regular, every month of the year.There is no dry season.The average temperature of the hottest month is below 22 ° C.Average monthly temperatures are above 10 ° C for less than 4 months.The average temperatures of the coldest month are above -38 ° C.
12,Csa,Climat tempéré chaud à été chaud et sec,Mediterranean hot summer climates,Les températures moyennes des 3 mois les plus froids sont comprises entre 0 °C et 18 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.La saison sèche est en étéLes précipitations du mois estival le plus sec sont inférieures à 40 mm et inférieures à 1/3 du mois hivernal le plus humide.La température moyenne du mois le plus chaud est supérieure à 22 °C,The average temperatures of the 3 coldest months are between 0 ° C and 18 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The dry season is in summerRainfall in the driest summer month is less than 40 mm and less than 1/3 of the wettest winter month.The average temperature of the hottest month is above 22 ° C
